,일시,수위(EL.m)
199,2012-09-04 08시,5.34
200,2012-09-04 09시,5.35
201,2012-09-04 10시,5.25
202,2012-09-04 11시,5.19
203,2012-09-04 12시,5.16
204,2012-09-04 13시,5.17
205,2012-09-04 14시,5.17
206,2012-09-04 15시,5.17
207,2012-09-04 16시,5.22
208,2012-09-04 17시,5.24
209,2012-09-04 18시,5.25
210,2012-09-04 19시,5.27
211,2012-09-04 20시,5.29
212,2012-09-04 21시,5.3
213,2012-09-04 22시,5.27
214,2012-09-04 23시,5.28
215,2012-09-04 24시,5.25
216,2012-09-05 01시,5.29
217,2012-09-05 02시,5.3
218,2012-09-05 03시,5.3
219,2012-09-05 04시,5.3
220,2012-09-05 05시,5.3
221,2012-09-05 06시,5.32
222,2012-09-05 07시,5.34
223,2012-09-05 08시,5.35
224,2012-09-05 09시,5.38
225,2012-09-05 10시,5.31
226,2012-09-05 11시,5.26
227,2012-09-05 12시,5.25
228,2012-09-05 13시,5.24
229,2012-09-05 14시,5.39
230,2012-09-05 15시,5.66
231,2012-09-05 16시,5.77
232,2012-09-05 17시,5.88
233,2012-09-05 18시,5.94
234,2012-09-05 19시,5.96
235,2012-09-05 20시,5.95
236,2012-09-05 21시,5.86
237,2012-09-05 22시,5.8
238,2012-09-05 23시,5.74
239,2012-09-05 24시,5.74
240,2012-09-06 01시,5.73
241,2012-09-06 02시,5.7
242,2012-09-06 03시,5.67
243,2012-09-06 04시,5.66
244,2012-09-06 05시,5.66
245,2012-09-06 06시,5.66
246,2012-09-06 07시,5.71
247,2012-09-06 08시,5.76
248,2012-09-06 09시,5.8
249,2012-09-06 10시,5.81
250,2012-09-06 11시,5.81
251,2012-09-06 12시,5.81
252,2012-09-06 13시,5.74
253,2012-09-06 14시,5.54
254,2012-09-06 15시,5.44
255,2012-09-06 16시,5.37
256,2012-09-06 17시,5.29
257,2012-09-06 18시,5.21
258,2012-09-06 19시,5.16
259,2012-09-06 20시,5.12
260,2012-09-06 21시,5.09
261,2012-09-06 22시,5.06
262,2012-09-06 23시,5.07
263,2012-09-06 24시,5.16
264,2012-09-07 01시,5.24
265,2012-09-07 02시,5.34
266,2012-09-07 03시,5.42
267,2012-09-07 04시,5.46
268,2012-09-07 05시,5.46
269,2012-09-07 06시,5.44
270,2012-09-07 07시,5.42
271,2012-09-07 08시,5.41
272,2012-09-07 09시,5.35
273,2012-09-07 10시,5.2
274,2012-09-07 11시,5.11
275,2012-09-07 12시,5.11
276,2012-09-07 13시,5.08
277,2012-09-07 14시,5.03
278,2012-09-07 15시,5.03
279,2012-09-07 16시,5.04
280,2012-09-07 17시,5.04
281,2012-09-07 18시,5.04
282,2012-09-07 19시,5.04
283,2012-09-07 20시,5.05
284,2012-09-07 21시,5.05
285,2012-09-07 22시,5.05
286,2012-09-07 23시,5.05
287,2012-09-07 24시,5.06
288,2012-09-08 01시,5.1
289,2012-09-08 02시,5.1
290,2012-09-08 03시,5.15
291,2012-09-08 04시,5.31
292,2012-09-08 05시,5.41
293,2012-09-08 06시,5.57
294,2012-09-08 07시,5.73
295,2012-09-08 08시,5.89
296,2012-09-08 09시,5.92
297,2012-09-08 10시,5.91
298,2012-09-08 11시,5.92
299,2012-09-08 12시,5.89
300,2012-09-08 13시,5.89
301,2012-09-08 14시,5.95
302,2012-09-08 15시,6.01
303,2012-09-08 16시,6.11
304,2012-09-08 17시,6.19
305,2012-09-08 18시,6.25
306,2012-09-08 19시,6.33
307,2012-09-08 20시,6.39
308,2012-09-08 21시,6.42
309,2012-09-08 22시,6.43
310,2012-09-08 23시,6.43
311,2012-09-08 24시,6.43
312,2012-09-09 01시,6.38
313,2012-09-09 02시,6.28
314,2012-09-09 03시,6.27
315,2012-09-09 04시,6.24
316,2012-09-09 05시,6.21
317,2012-09-09 06시,6.18
318,2012-09-09 07시,6.15
319,2012-09-09 08시,6.13
320,2012-09-09 09시,6.09
321,2012-09-09 10시,6.02
322,2012-09-09 11시,5.97
323,2012-09-09 12시,5.76
324,2012-09-09 13시,5.7
325,2012-09-09 14시,5.62
326,2012-09-09 15시,5.57
327,2012-09-09 16시,5.53
328,2012-09-09 17시,5.48
329,2012-09-09 18시,5.45
330,2012-09-09 19시,5.42
331,2012-09-09 20시,5.39
332,2012-09-09 21시,5.37
333,2012-09-09 22시,5.34
334,2012-09-09 23시,5.32
335,2012-09-09 24시,5.3
336,2012-09-10 01시,5.29
337,2012-09-10 02시,5.3
338,2012-09-10 03시,5.31
339,2012-09-10 04시,5.32
340,2012-09-10 05시,5.33
341,2012-09-10 06시,5.34
342,2012-09-10 07시,5.34
343,2012-09-10 08시,5.34
344,2012-09-10 09시,5.34
345,2012-09-10 10시,5.34
346,2012-09-10 11시,5.32
347,2012-09-10 12시,5.27
348,2012-09-10 13시,5.23
349,2012-09-10 14시,5.17
350,2012-09-10 15시,5.13
351,2012-09-10 16시,5.25
352,2012-09-10 17시,5.27
353,2012-09-10 18시,5.27
354,2012-09-10 19시,5.28
355,2012-09-10 20시,5.28
