,일시,수위(EL.m)
26595,2012-09-09 05시,4.98
26596,2012-09-09 06시,4.96
26597,2012-09-09 07시,4.94
26598,2012-09-09 08시,4.93
26599,2012-09-09 09시,4.92
26600,2012-09-09 10시,4.92
26601,2012-09-09 11시,4.92
26602,2012-09-09 12시,4.94
26603,2012-09-09 13시,4.94
26604,2012-09-09 14시,4.96
26605,2012-09-09 15시,4.97
26606,2012-09-09 16시,4.97
26607,2012-09-09 17시,4.97
26608,2012-09-09 18시,4.97
26609,2012-09-09 19시,4.97
26610,2012-09-09 20시,4.97
26611,2012-09-09 21시,4.96
26612,2012-09-09 22시,4.96
26613,2012-09-09 23시,4.95
26614,2012-09-09 24시,4.95
26615,2012-09-10 01시,4.95
26616,2012-09-10 02시,4.95
26617,2012-09-10 03시,4.95
26618,2012-09-10 04시,4.95
26619,2012-09-10 05시,4.95
26620,2012-09-10 06시,4.95
26621,2012-09-10 07시,4.96
26622,2012-09-10 08시,4.96
26623,2012-09-10 09시,4.96
26624,2012-09-10 10시,4.96
26625,2012-09-10 11시,4.96
26626,2012-09-10 12시,4.97
26627,2012-09-10 13시,4.97
26628,2012-09-10 14시,4.99
26629,2012-09-10 15시,5.0
26630,2012-09-10 16시,5.0
26631,2012-09-10 17시,5.01
26632,2012-09-10 18시,5.02
26633,2012-09-10 19시,5.04
26634,2012-09-10 20시,5.06
26635,2012-09-10 21시,5.07
26636,2012-09-10 22시,5.08
26637,2012-09-10 23시,5.1
26638,2012-09-10 24시,5.1
26639,2012-09-11 01시,5.1
26640,2012-09-11 02시,5.1
26641,2012-09-11 03시,5.1
26642,2012-09-11 04시,5.11
26643,2012-09-11 05시,5.11
26644,2012-09-11 06시,5.11
26645,2012-09-11 07시,5.11
26646,2012-09-11 08시,5.11
26647,2012-09-11 09시,5.11
26648,2012-09-11 10시,5.1
26649,2012-09-11 11시,5.1
26650,2012-09-11 12시,5.1
26651,2012-09-11 13시,5.1
26652,2012-09-11 14시,5.09
26653,2012-09-11 15시,5.09
26654,2012-09-11 16시,5.09
26655,2012-09-11 17시,5.09
26656,2012-09-11 18시,5.08
26657,2012-09-11 19시,5.08
26658,2012-09-11 20시,5.07
26659,2012-09-11 21시,5.07
26660,2012-09-11 22시,5.07
26661,2012-09-11 23시,5.06
26662,2012-09-11 24시,5.06
26663,2012-09-12 01시,5.06
26664,2012-09-12 02시,5.06
26665,2012-09-12 03시,5.06
26666,2012-09-12 04시,5.06
26667,2012-09-12 05시,5.06
26668,2012-09-12 06시,5.06
26669,2012-09-12 07시,5.06
26670,2012-09-12 08시,5.06
26671,2012-09-12 09시,5.06
26672,2012-09-12 10시,5.06
26673,2012-09-12 11시,5.06
26674,2012-09-12 12시,5.06
26675,2012-09-12 13시,5.06
26676,2012-09-12 14시,5.06
26677,2012-09-12 15시,5.06
26678,2012-09-12 16시,5.07
26679,2012-09-12 17시,5.07
26680,2012-09-12 18시,5.07
26681,2012-09-12 19시,5.08
26682,2012-09-12 20시,5.08
26683,2012-09-12 21시,5.08
26684,2012-09-12 22시,5.08
26685,2012-09-12 23시,5.08
26686,2012-09-12 24시,5.08
26687,2012-09-13 01시,5.08
26688,2012-09-13 02시,5.08
26689,2012-09-13 03시,5.08
26690,2012-09-13 04시,5.08
26691,2012-09-13 05시,5.08
26692,2012-09-13 06시,5.08
26693,2012-09-13 07시,5.07
26694,2012-09-13 08시,5.07
26695,2012-09-13 09시,5.07
26696,2012-09-13 10시,5.07
26697,2012-09-13 11시,5.07
26698,2012-09-13 12시,5.06
26699,2012-09-13 13시,5.06
26700,2012-09-13 14시,5.06
26701,2012-09-13 15시,5.06
26702,2012-09-13 16시,5.06
26703,2012-09-13 17시,5.06
26704,2012-09-13 18시,5.05
26705,2012-09-13 19시,5.05
26706,2012-09-13 20시,5.05
26707,2012-09-13 21시,5.05
26708,2012-09-13 22시,5.05
26709,2012-09-13 23시,5.05
26710,2012-09-13 24시,5.05
26711,2012-09-14 01시,5.05
26712,2012-09-14 02시,5.05
26713,2012-09-14 03시,5.05
26714,2012-09-14 04시,5.05
26715,2012-09-14 05시,5.05
26716,2012-09-14 06시,5.05
26717,2012-09-14 07시,5.05
26718,2012-09-14 08시,5.05
26719,2012-09-14 09시,5.05
26720,2012-09-14 10시,5.05
26721,2012-09-14 11시,5.05
26722,2012-09-14 12시,5.05
26723,2012-09-14 13시,5.05
26724,2012-09-14 14시,5.05
26725,2012-09-14 15시,5.05
26726,2012-09-14 16시,5.04
26727,2012-09-14 17시,5.04
26728,2012-09-14 18시,5.04
26729,2012-09-14 19시,5.04
26730,2012-09-14 20시,5.04
26731,2012-09-14 21시,5.04
26732,2012-09-14 22시,5.04
26733,2012-09-14 23시,5.04
26734,2012-09-14 24시,5.04
26735,2012-09-15 01시,5.04
26736,2012-09-15 02시,5.03
26737,2012-09-15 03시,5.03
26738,2012-09-15 04시,5.03
26739,2012-09-15 05시,5.02
26740,2012-09-15 06시,5.02
26741,2012-09-15 07시,5.02
26742,2012-09-15 08시,5.02
26743,2012-09-15 09시,5.01
26744,2012-09-15 10시,5.01
26745,2012-09-15 11시,4.98
26746,2012-09-15 12시,4.97
26747,2012-09-15 13시,5.05
26748,2012-09-15 14시,5.06
26749,2012-09-15 15시,5.04
26750,2012-09-15 16시,5.03
26751,2012-09-15 17시,5.06
26752,2012-09-15 18시,5.06
26753,2012-09-15 19시,5.06
26754,2012-09-15 20시,5.06
26755,2012-09-15 21시,5.07
26756,2012-09-15 22시,5.07
26757,2012-09-15 23시,5.07
26758,2012-09-15 24시,5.08
26759,2012-09-16 01시,5.08
26760,2012-09-16 02시,5.08
26761,2012-09-16 03시,5.08
26762,2012-09-16 04시,5.08
26763,2012-09-16 05시,5.08
26764,2012-09-16 06시,5.08
26765,2012-09-16 07시,5.07
26766,2012-09-16 08시,5.07
26767,2012-09-16 09시,5.07
26768,2012-09-16 10시,5.07
26769,2012-09-16 11시,5.06
26770,2012-09-16 12시,5.06
26771,2012-09-16 13시,5.06
26772,2012-09-16 14시,5.05
26773,2012-09-16 15시,5.05
26774,2012-09-16 16시,5.05
26775,2012-09-16 17시,5.04
26776,2012-09-16 18시,5.04
26777,2012-09-16 19시,5.04
26778,2012-09-16 20시,5.04
26779,2012-09-16 21시,5.04
26780,2012-09-16 22시,5.04
26781,2012-09-16 23시,5.04
26782,2012-09-16 24시,5.04
26783,2012-09-17 01시,5.05
26784,2012-09-17 02시,5.05
26785,2012-09-17 03시,5.06
26786,2012-09-17 04시,5.06
26787,2012-09-17 05시,5.07
26788,2012-09-17 06시,5.07
26789,2012-09-17 07시,5.08
26790,2012-09-17 08시,5.09
26791,2012-09-17 09시,5.1
26792,2012-09-17 10시,5.1
26793,2012-09-17 11시,5.1
26794,2012-09-17 12시,5.1
26795,2012-09-17 13시,5.09
26796,2012-09-17 14시,5.08
26797,2012-09-17 15시,5.07
26798,2012-09-17 16시,5.06
26799,2012-09-17 17시,5.06
26800,2012-09-17 18시,5.05
26801,2012-09-17 19시,5.05
26802,2012-09-17 20시,5.05
26803,2012-09-17 21시,5.05
26804,2012-09-17 22시,5.05
26805,2012-09-17 23시,5.05
26806,2012-09-17 24시,5.05
26807,2012-09-18 01시,5.05
26808,2012-09-18 02시,5.05
26809,2012-09-18 03시,5.05
26810,2012-09-18 04시,5.05
26811,2012-09-18 05시,5.05
26812,2012-09-18 06시,5.05
26813,2012-09-18 07시,5.05
26814,2012-09-18 08시,5.05
26815,2012-09-18 09시,5.05
26816,2012-09-18 10시,5.05
26817,2012-09-18 11시,5.05
26818,2012-09-18 12시,5.05
26819,2012-09-18 13시,5.06
26820,2012-09-18 14시,5.06
26821,2012-09-18 15시,5.06
26822,2012-09-18 16시,5.07
26823,2012-09-18 17시,5.07
26824,2012-09-18 18시,5.07
26825,2012-09-18 19시,5.07
26826,2012-09-18 20시,5.08
26827,2012-09-18 21시,5.08
26828,2012-09-18 22시,5.08
26829,2012-09-18 23시,5.09
26830,2012-09-18 24시,5.09
26831,2012-09-19 01시,5.09
26832,2012-09-19 02시,5.09
26833,2012-09-19 03시,5.09
26834,2012-09-19 04시,5.09
26835,2012-09-19 05시,5.09
26836,2012-09-19 06시,5.09
26837,2012-09-19 07시,5.09
26838,2012-09-19 08시,5.09
26839,2012-09-19 09시,5.09
26840,2012-09-19 10시,5.09
26841,2012-09-19 11시,5.09
26842,2012-09-19 12시,5.09
26843,2012-09-19 13시,5.09
26844,2012-09-19 14시,5.09
26845,2012-09-19 15시,5.09
26846,2012-09-19 16시,5.09
26847,2012-09-19 17시,5.09
26848,2012-09-19 18시,5.09
26849,2012-09-19 19시,5.09
26850,2012-09-19 20시,5.09
26851,2012-09-19 21시,5.09
26852,2012-09-19 22시,5.09
26853,2012-09-19 23시,5.09
26854,2012-09-19 24시,5.09
26855,2012-09-20 01시,5.09
26856,2012-09-20 02시,5.09
26857,2012-09-20 03시,5.1
26858,2012-09-20 04시,5.1
26859,2012-09-20 05시,5.1
26860,2012-09-20 06시,5.1
26861,2012-09-20 07시,5.1
26862,2012-09-20 08시,5.09
26863,2012-09-20 09시,5.09
26864,2012-09-20 10시,5.08
26865,2012-09-20 11시,5.08
26866,2012-09-20 12시,5.07
26867,2012-09-20 13시,5.07
26868,2012-09-20 14시,5.06
26869,2012-09-20 15시,5.06
26870,2012-09-20 16시,5.05
26871,2012-09-20 17시,5.05
26872,2012-09-20 18시,5.05
26873,2012-09-20 19시,5.05
26874,2012-09-20 20시,5.05
26875,2012-09-20 21시,5.05
26876,2012-09-20 22시,5.05
26877,2012-09-20 23시,5.05
26878,2012-09-20 24시,5.05
26879,2012-09-21 01시,5.05
26880,2012-09-21 02시,5.05
26881,2012-09-21 03시,5.05
26882,2012-09-21 04시,5.04
26883,2012-09-21 05시,5.04
26884,2012-09-21 06시,5.03
26885,2012-09-21 07시,5.03
26886,2012-09-21 08시,5.03
26887,2012-09-21 09시,5.02
26888,2012-09-21 10시,5.02
26889,2012-09-21 11시,5.02
26890,2012-09-21 12시,5.02
26891,2012-09-21 13시,5.01
26892,2012-09-21 14시,5.01
26893,2012-09-21 15시,5.01
26894,2012-09-21 16시,5.01
26895,2012-09-21 17시,5.0
26896,2012-09-21 18시,5.0
26897,2012-09-21 19시,5.0
26898,2012-09-21 20시,5.0
26899,2012-09-21 21시,4.99
26900,2012-09-21 22시,4.99
26901,2012-09-21 23시,4.99
26902,2012-09-21 24시,4.99
26903,2012-09-22 01시,4.99
26904,2012-09-22 02시,4.99
26905,2012-09-22 03시,4.99
26906,2012-09-22 04시,4.99
26907,2012-09-22 05시,4.99
26908,2012-09-22 06시,4.99
26909,2012-09-22 07시,4.99
26910,2012-09-22 08시,4.99
26911,2012-09-22 09시,5.0
26912,2012-09-22 10시,5.0
26913,2012-09-22 11시,5.0
26914,2012-09-22 12시,5.01
26915,2012-09-22 13시,5.01
26916,2012-09-22 14시,5.01
26917,2012-09-22 15시,5.01
26918,2012-09-22 16시,5.02
26919,2012-09-22 17시,5.02
26920,2012-09-22 18시,5.02
26921,2012-09-22 19시,5.02
26922,2012-09-22 20시,5.03
26923,2012-09-22 21시,5.03
26924,2012-09-22 22시,5.03
26925,2012-09-22 23시,5.03
26926,2012-09-22 24시,5.04
26927,2012-09-23 01시,5.04
26928,2012-09-23 02시,5.05
26929,2012-09-23 03시,5.05
26930,2012-09-23 04시,5.06
26931,2012-09-23 05시,5.07
26932,2012-09-23 06시,5.07
26933,2012-09-23 07시,5.08
26934,2012-09-23 08시,5.08
26935,2012-09-23 09시,5.09
26936,2012-09-23 10시,5.09
26937,2012-09-23 11시,5.1
26938,2012-09-23 12시,5.1
26939,2012-09-23 13시,5.1
26940,2012-09-23 14시,5.1
26941,2012-09-23 15시,5.1
26942,2012-09-23 16시,5.1
26943,2012-09-23 17시,5.1
26944,2012-09-23 18시,5.1
26945,2012-09-23 19시,5.1
26946,2012-09-23 20시,5.11
26947,2012-09-23 21시,5.12
26948,2012-09-23 22시,5.12
26949,2012-09-23 23시,5.12
26950,2012-09-23 24시,5.13
26951,2012-09-24 01시,5.13
26952,2012-09-24 02시,5.13
26953,2012-09-24 03시,5.12
26954,2012-09-24 04시,5.12
26955,2012-09-24 05시,5.12
26956,2012-09-24 06시,5.12
26957,2012-09-24 07시,5.12
26958,2012-09-24 08시,5.12
26959,2012-09-24 09시,5.12
26960,2012-09-24 10시,5.11
26961,2012-09-24 11시,5.1
26962,2012-09-24 12시,5.1
26963,2012-09-24 13시,5.1
26964,2012-09-24 14시,5.1
26965,2012-09-24 15시,5.1
26966,2012-09-24 16시,5.1
26967,2012-09-24 17시,5.1
26968,2012-09-24 18시,5.1
26969,2012-09-24 19시,5.1
26970,2012-09-24 20시,5.1
26971,2012-09-24 21시,5.1
26972,2012-09-24 22시,5.1
26973,2012-09-24 23시,5.1
26974,2012-09-24 24시,5.1
26975,2012-09-25 01시,5.1
26976,2012-09-25 02시,5.1
26977,2012-09-25 03시,5.1
26978,2012-09-25 04시,5.1
26979,2012-09-25 05시,5.1
26980,2012-09-25 06시,5.1
26981,2012-09-25 07시,5.1
26982,2012-09-25 08시,5.1
26983,2012-09-25 09시,5.11
26984,2012-09-25 10시,5.11
26985,2012-09-25 11시,5.11
26986,2012-09-25 12시,5.11
26987,2012-09-25 13시,5.11
26988,2012-09-25 14시,5.11
26989,2012-09-25 15시,5.11
26990,2012-09-25 16시,5.11
26991,2012-09-25 17시,5.11
26992,2012-09-25 18시,5.11
26993,2012-09-25 19시,5.11
26994,2012-09-25 20시,5.11
26995,2012-09-25 21시,5.11
26996,2012-09-25 22시,5.11
26997,2012-09-25 23시,5.11
26998,2012-09-25 24시,5.11
26999,2012-09-26 01시,5.11
27000,2012-09-26 02시,5.11
27001,2012-09-26 03시,5.11
27002,2012-09-26 04시,5.11
27003,2012-09-26 05시,5.11
27004,2012-09-26 06시,5.11
27005,2012-09-26 07시,5.11
27006,2012-09-26 08시,5.11
27007,2012-09-26 09시,5.11
27008,2012-09-26 10시,5.11
27009,2012-09-26 11시,5.11
27010,2012-09-26 12시,5.11
27011,2012-09-26 13시,5.11
27012,2012-09-26 14시,5.11
27013,2012-09-26 15시,5.11
27014,2012-09-26 16시,5.11
27015,2012-09-26 17시,5.11
27016,2012-09-26 18시,5.11
27017,2012-09-26 19시,5.11
27018,2012-09-26 20시,5.1
27019,2012-09-26 21시,5.1
27020,2012-09-26 22시,5.1
27021,2012-09-26 23시,5.1
27022,2012-09-26 24시,5.1
27023,2012-09-27 01시,5.1
27024,2012-09-27 02시,5.1
27025,2012-09-27 03시,5.1
27026,2012-09-27 04시,5.1
27027,2012-09-27 05시,5.1
27028,2012-09-27 06시,5.1
27029,2012-09-27 07시,5.1
27030,2012-09-27 08시,5.1
27031,2012-09-27 09시,5.1
27032,2012-09-27 10시,5.1
27033,2012-09-27 11시,5.1
27034,2012-09-27 12시,5.1
27035,2012-09-27 13시,5.1
27036,2012-09-27 14시,5.1
27037,2012-09-27 15시,5.1
27038,2012-09-27 16시,5.1
27039,2012-09-27 17시,5.1
27040,2012-09-27 18시,5.1
27041,2012-09-27 19시,5.1
27042,2012-09-27 20시,5.1
27043,2012-09-27 21시,5.1
27044,2012-09-27 22시,5.1
27045,2012-09-27 23시,5.1
27046,2012-09-27 24시,5.1
27047,2012-09-28 01시,5.1
27048,2012-09-28 02시,5.1
27049,2012-09-28 03시,5.1
27050,2012-09-28 04시,5.1
27051,2012-09-28 05시,5.1
27052,2012-09-28 06시,5.1
27053,2012-09-28 07시,5.1
27054,2012-09-28 08시,5.1
27055,2012-09-28 09시,5.11
27056,2012-09-28 10시,5.11
27057,2012-09-28 11시,5.11
27058,2012-09-28 12시,5.1
27059,2012-09-28 13시,5.1
27060,2012-09-28 14시,5.1
27061,2012-09-28 15시,5.1
27062,2012-09-28 16시,5.1
27063,2012-09-28 17시,5.1
27064,2012-09-28 18시,5.1
27065,2012-09-28 19시,5.1
27066,2012-09-28 20시,5.1
27067,2012-09-28 21시,5.1
27068,2012-09-28 22시,5.1
27069,2012-09-28 23시,5.1
27070,2012-09-28 24시,5.1
27071,2012-09-29 01시,5.1
27072,2012-09-29 02시,5.1
27073,2012-09-29 03시,5.1
27074,2012-09-29 04시,5.1
27075,2012-09-29 05시,5.1
27076,2012-09-29 06시,5.1
27077,2012-09-29 07시,5.1
27078,2012-09-29 08시,5.1
27079,2012-09-29 09시,5.1
27080,2012-09-29 10시,5.1
27081,2012-09-29 11시,5.1
27082,2012-09-29 12시,5.1
27083,2012-09-29 13시,5.1
27084,2012-09-29 14시,5.1
27085,2012-09-29 15시,5.1
27086,2012-09-29 16시,5.1
27087,2012-09-29 17시,5.1
27088,2012-09-29 18시,5.1
27089,2012-09-29 19시,5.1
27090,2012-09-29 20시,5.1
27091,2012-09-29 21시,5.1
27092,2012-09-29 22시,5.1
27093,2012-09-29 23시,5.1
27094,2012-09-29 24시,5.1
27095,2012-09-30 01시,5.1
27096,2012-09-30 02시,5.1
27097,2012-09-30 03시,5.1
27098,2012-09-30 04시,5.1
27099,2012-09-30 05시,5.09
27100,2012-09-30 06시,5.09
27101,2012-09-30 07시,5.09
27102,2012-09-30 08시,5.09
27103,2012-09-30 09시,5.09
27104,2012-09-30 10시,5.09
27105,2012-09-30 11시,5.09
27106,2012-09-30 12시,5.08
27107,2012-09-30 13시,5.08
27108,2012-09-30 14시,5.08
27109,2012-09-30 15시,5.08
27110,2012-09-30 16시,5.08
27111,2012-09-30 17시,5.08
27112,2012-09-30 18시,5.08
27113,2012-09-30 19시,5.08
27114,2012-09-30 20시,5.08
27115,2012-09-30 21시,5.08
27116,2012-09-30 22시,5.08
27117,2012-09-30 23시,5.08
27118,2012-09-30 24시,5.08
27119,2012-10-01 01시,5.08
27120,2012-10-01 02시,5.08
27121,2012-10-01 03시,5.08
27122,2012-10-01 04시,5.08
27123,2012-10-01 05시,5.08
27124,2012-10-01 06시,5.08
27125,2012-10-01 07시,5.09
27126,2012-10-01 08시,5.1
27127,2012-10-01 09시,5.1
27128,2012-10-01 10시,5.1
27129,2012-10-01 11시,5.1
27130,2012-10-01 12시,5.1
27131,2012-10-01 13시,5.1
27132,2012-10-01 14시,5.1
27133,2012-10-01 15시,5.1
27134,2012-10-01 16시,5.1
27135,2012-10-01 17시,5.1
27136,2012-10-01 18시,5.11
27137,2012-10-01 19시,5.12
27138,2012-10-01 20시,5.12
27139,2012-10-01 21시,5.12
27140,2012-10-01 22시,5.13
27141,2012-10-01 23시,5.13
27142,2012-10-01 24시,5.13
27143,2012-10-02 01시,5.13
27144,2012-10-02 02시,5.13
27145,2012-10-02 03시,5.13
27146,2012-10-02 04시,5.13
27147,2012-10-02 05시,5.13
27148,2012-10-02 06시,5.13
27149,2012-10-02 07시,5.13
27150,2012-10-02 08시,5.13
27151,2012-10-02 09시,5.13
27152,2012-10-02 10시,5.13
27153,2012-10-02 11시,5.14
27154,2012-10-02 12시,5.14
27155,2012-10-02 13시,5.14
27156,2012-10-02 14시,5.14
27157,2012-10-02 15시,5.14
27158,2012-10-02 16시,5.13
27159,2012-10-02 17시,5.12
27160,2012-10-02 18시,5.12
27161,2012-10-02 19시,5.11
27162,2012-10-02 20시,5.1
27163,2012-10-02 21시,5.1
27164,2012-10-02 22시,5.1
27165,2012-10-02 23시,5.09
27166,2012-10-02 24시,5.09
27167,2012-10-03 01시,5.09
27168,2012-10-03 02시,5.09
27169,2012-10-03 03시,5.09
27170,2012-10-03 04시,5.09
27171,2012-10-03 05시,5.1
27172,2012-10-03 06시,5.1
27173,2012-10-03 07시,5.1
27174,2012-10-03 08시,5.09
27175,2012-10-03 09시,5.09
27176,2012-10-03 10시,5.09
27177,2012-10-03 11시,5.09
27178,2012-10-03 12시,5.08
27179,2012-10-03 13시,5.08
27180,2012-10-03 14시,5.08
27181,2012-10-03 15시,5.08
27182,2012-10-03 16시,5.08
27183,2012-10-03 17시,5.08
27184,2012-10-03 18시,5.08
27185,2012-10-03 19시,5.08
27186,2012-10-03 20시,5.08
27187,2012-10-03 21시,5.08
27188,2012-10-03 22시,5.08
27189,2012-10-03 23시,5.08
27190,2012-10-03 24시,5.08
27191,2012-10-04 01시,5.08
27192,2012-10-04 02시,5.08
27193,2012-10-04 03시,5.08
27194,2012-10-04 04시,5.08
27195,2012-10-04 05시,5.09
27196,2012-10-04 06시,5.09
27197,2012-10-04 07시,5.09
27198,2012-10-04 08시,5.09
27199,2012-10-04 09시,5.09
27200,2012-10-04 10시,5.09
27201,2012-10-04 11시,5.09
27202,2012-10-04 12시,5.09
27203,2012-10-04 13시,5.09
27204,2012-10-04 14시,5.09
27205,2012-10-04 15시,5.09
27206,2012-10-04 16시,5.09
27207,2012-10-04 17시,5.09
27208,2012-10-04 18시,5.09
27209,2012-10-04 19시,5.09
27210,2012-10-04 20시,5.09
27211,2012-10-04 21시,5.09
27212,2012-10-04 22시,5.09
27213,2012-10-04 23시,5.09
27214,2012-10-04 24시,5.09
27215,2012-10-05 01시,5.09
27216,2012-10-05 02시,5.09
27217,2012-10-05 03시,5.09
27218,2012-10-05 04시,5.09
27219,2012-10-05 05시,5.09
27220,2012-10-05 06시,5.09
27221,2012-10-05 07시,5.09
27222,2012-10-05 08시,5.09
27223,2012-10-05 09시,5.09
27224,2012-10-05 10시,5.08
27225,2012-10-05 11시,5.08
27226,2012-10-05 12시,5.08
27227,2012-10-05 13시,5.08
27228,2012-10-05 14시,5.08
27229,2012-10-05 15시,5.08
27230,2012-10-05 16시,5.08
27231,2012-10-05 17시,5.08
27232,2012-10-05 18시,5.08
27233,2012-10-05 19시,5.08
27234,2012-10-05 20시,5.08
27235,2012-10-05 21시,5.08
27236,2012-10-05 22시,5.08
27237,2012-10-05 23시,5.08
27238,2012-10-05 24시,5.09
27239,2012-10-06 01시,5.09
27240,2012-10-06 02시,5.09
27241,2012-10-06 03시,5.09
27242,2012-10-06 04시,5.09
27243,2012-10-06 05시,5.09
27244,2012-10-06 06시,5.09
27245,2012-10-06 07시,5.09
27246,2012-10-06 08시,5.09
27247,2012-10-06 09시,5.09
27248,2012-10-06 10시,5.09
27249,2012-10-06 11시,5.09
27250,2012-10-06 12시,5.09
27251,2012-10-06 13시,5.09
27252,2012-10-06 14시,5.07
27253,2012-10-06 15시,5.06
27254,2012-10-06 16시,5.04
27255,2012-10-06 17시,5.02
27256,2012-10-06 18시,5.01
27257,2012-10-06 19시,5.0
27258,2012-10-06 20시,4.98
27259,2012-10-06 21시,4.97
27260,2012-10-06 22시,4.95
27261,2012-10-06 23시,4.94
27262,2012-10-06 24시,4.94
27263,2012-10-07 01시,4.93
27264,2012-10-07 02시,4.93
27265,2012-10-07 03시,4.93
27266,2012-10-07 04시,4.93
27267,2012-10-07 05시,4.93
27268,2012-10-07 06시,4.94
27269,2012-10-07 07시,4.95
27270,2012-10-07 08시,4.95
27271,2012-10-07 09시,4.96
27272,2012-10-07 10시,4.96
27273,2012-10-07 11시,4.96
27274,2012-10-07 12시,4.96
27275,2012-10-07 13시,4.96
27276,2012-10-07 14시,4.96
27277,2012-10-07 15시,4.96
27278,2012-10-07 16시,4.95
27279,2012-10-07 17시,4.95
27280,2012-10-07 18시,4.95
27281,2012-10-07 19시,4.95
27282,2012-10-07 20시,4.95
27283,2012-10-07 21시,4.95
27284,2012-10-07 22시,4.95
27285,2012-10-07 23시,4.95
27286,2012-10-07 24시,4.95
27287,2012-10-08 01시,4.95
27288,2012-10-08 02시,4.96
27289,2012-10-08 03시,4.97
27290,2012-10-08 04시,4.97
27291,2012-10-08 05시,4.97
27292,2012-10-08 06시,4.98
27293,2012-10-08 07시,4.98
27294,2012-10-08 08시,4.99
27295,2012-10-08 09시,4.99
27296,2012-10-08 10시,5.0
27297,2012-10-08 11시,5.0
27298,2012-10-08 12시,5.0
27299,2012-10-08 13시,5.01
27300,2012-10-08 14시,5.01
27301,2012-10-08 15시,5.01
27302,2012-10-08 16시,5.02
27303,2012-10-08 17시,5.02
27304,2012-10-08 18시,5.03
27305,2012-10-08 19시,5.03
27306,2012-10-08 20시,5.04
27307,2012-10-08 21시,5.04
27308,2012-10-08 22시,5.04
27309,2012-10-08 23시,5.05
27310,2012-10-08 24시,5.05
27311,2012-10-09 01시,5.05
27312,2012-10-09 02시,5.06
27313,2012-10-09 03시,5.06
27314,2012-10-09 04시,5.06
27315,2012-10-09 05시,5.06
27316,2012-10-09 06시,5.06
27317,2012-10-09 07시,5.07
27318,2012-10-09 08시,5.07
27319,2012-10-09 09시,5.07
27320,2012-10-09 10시,5.07
27321,2012-10-09 11시,5.07
27322,2012-10-09 12시,5.07
27323,2012-10-09 13시,5.08
27324,2012-10-09 14시,5.08
27325,2012-10-09 15시,5.08
27326,2012-10-09 16시,5.08
27327,2012-10-09 17시,5.08
27328,2012-10-09 18시,5.08
27329,2012-10-09 19시,5.08
27330,2012-10-09 20시,5.08
27331,2012-10-09 21시,5.08
27332,2012-10-09 22시,5.08
27333,2012-10-09 23시,5.08
27334,2012-10-09 24시,5.08
27335,2012-10-10 01시,5.08
27336,2012-10-10 02시,5.08
27337,2012-10-10 03시,5.08
27338,2012-10-10 04시,5.08
27339,2012-10-10 05시,5.08
27340,2012-10-10 06시,5.08
27341,2012-10-10 07시,5.08
27342,2012-10-10 08시,5.08
27343,2012-10-10 09시,5.08
27344,2012-10-10 10시,5.08
27345,2012-10-10 11시,5.08
27346,2012-10-10 12시,5.08
27347,2012-10-10 13시,5.08
27348,2012-10-10 14시,5.08
27349,2012-10-10 15시,5.08
27350,2012-10-10 16시,5.08
27351,2012-10-10 17시,5.08
27352,2012-10-10 18시,5.08
27353,2012-10-10 19시,5.07
27354,2012-10-10 20시,5.07
27355,2012-10-10 21시,5.07
27356,2012-10-10 22시,5.07
27357,2012-10-10 23시,5.07
27358,2012-10-10 24시,5.07
27359,2012-10-11 01시,5.07
27360,2012-10-11 02시,5.07
27361,2012-10-11 03시,5.09
27362,2012-10-11 04시,5.1
27363,2012-10-11 05시,5.11
27364,2012-10-11 06시,5.11
27365,2012-10-11 07시,5.11
27366,2012-10-11 08시,5.11
27367,2012-10-11 09시,5.11
27368,2012-10-11 10시,5.11
27369,2012-10-11 11시,5.11
27370,2012-10-11 12시,5.11
27371,2012-10-11 13시,5.1
27372,2012-10-11 14시,5.1
27373,2012-10-11 15시,5.1
27374,2012-10-11 16시,5.1
27375,2012-10-11 17시,5.09
27376,2012-10-11 18시,5.09
27377,2012-10-11 19시,5.09
27378,2012-10-11 20시,5.09
27379,2012-10-11 21시,5.09
27380,2012-10-11 22시,5.09
27381,2012-10-11 23시,5.09
27382,2012-10-11 24시,5.09
27383,2012-10-12 01시,5.09
27384,2012-10-12 02시,5.09
27385,2012-10-12 03시,5.09
27386,2012-10-12 04시,5.09
27387,2012-10-12 05시,5.09
27388,2012-10-12 06시,5.09
27389,2012-10-12 07시,5.09
27390,2012-10-12 08시,5.09
27391,2012-10-12 09시,5.09
27392,2012-10-12 10시,5.09
27393,2012-10-12 11시,5.09
27394,2012-10-12 12시,5.09
27395,2012-10-12 13시,5.09
27396,2012-10-12 14시,5.09
27397,2012-10-12 15시,5.09
27398,2012-10-12 16시,5.09
27399,2012-10-12 17시,5.09
27400,2012-10-12 18시,5.09
27401,2012-10-12 19시,5.09
27402,2012-10-12 20시,5.09
27403,2012-10-12 21시,5.09
27404,2012-10-12 22시,5.1
27405,2012-10-12 23시,5.1
27406,2012-10-12 24시,5.1
27407,2012-10-13 01시,5.1
27408,2012-10-13 02시,5.09
27409,2012-10-13 03시,5.09
27410,2012-10-13 04시,5.09
27411,2012-10-13 05시,5.09
27412,2012-10-13 06시,5.09
27413,2012-10-13 07시,5.09
27414,2012-10-13 08시,5.1
27415,2012-10-13 09시,5.1
27416,2012-10-13 10시,5.1
