Unnamed: 0,수위,총유입량,총방류량
61715,4.98,276.43,428.208
61716,5.0,211.266,98.155
61717,5.03,209.78,93.78
61718,5.04,143.465,104.798
61719,5.08,272.48,117.786
61720,5.11,372.979,256.979
61721,5.11,414.518,414.518
61722,5.11,448.525,448.525
61723,5.11,441.147,441.147
61724,5.08,320.2,436.2
61725,5.08,362.77,362.77
61726,5.08,352.723,352.723
61727,5.08,353.712,353.712
61728,5.08,357.943,357.943
61729,5.08,360.062,360.062
61730,5.08,359.065,359.065
61731,5.08,358.81,358.81
61732,5.08,358.885,358.885
61733,5.08,360.163,360.163
61734,5.08,360.142,360.142
61735,5.07,321.048,359.742
61736,5.07,357.363,357.363
61737,5.07,356.008,356.008
61738,5.07,358.638,358.638
61739,5.06,321.656,360.323
61740,5.06,360.217,360.217
61741,5.06,358.905,358.905
61742,5.06,360.642,360.642
61743,5.06,361.933,361.933
61744,5.06,361.048,361.048
61745,5.06,354.392,354.392
61746,5.06,352.603,352.603
61747,5.04,262.88,340.213
61748,5.04,281.328,281.328
61749,5.05,286.152,247.485
61750,5.07,338.35,261.017
61751,5.08,322.993,284.299
61752,5.08,335.413,335.413
61753,5.08,335.573,335.573
61754,5.08,334.882,334.882
61755,5.08,334.638,334.638
61756,5.08,355.423,355.423
61757,5.07,348.981,387.675
61758,5.07,385.528,385.528
61759,5.07,382.202,382.202
61760,5.07,381.288,381.288
61761,5.07,381.445,381.445
61762,5.07,380.11,380.11
61763,5.07,375.077,375.077
61764,5.07,373.935,373.935
61765,5.05,293.916,371.249
61766,5.05,286.42,286.42
61767,5.05,270.752,270.752
61768,5.05,267.243,267.243
61769,5.05,268.445,268.445
61770,5.04,217.696,256.363
61771,5.04,223.283,223.283
61772,5.04,223.095,223.095
61773,5.08,383.338,228.644
61774,5.1,311.65,234.317
61775,5.1,308.012,308.012
61776,5.1,337.808,337.808
61777,5.11,376.934,338.267
61778,5.11,340.977,340.977
61779,5.11,372.333,372.333
61780,5.11,372.775,372.775
61781,5.11,372.328,372.328
61782,5.1,354.618,393.285
61783,5.09,363.363,402.03
61784,5.08,355.726,394.393
61785,5.08,328.168,328.168
61786,5.06,242.329,319.69
61787,5.05,187.78,226.447
61788,5.04,151.857,190.524
61789,5.05,177.541,138.874
61790,5.06,235.822,197.155
61791,5.06,215.518,215.518
61792,5.07,252.87,214.203
61793,5.08,256.364,217.67
61794,5.09,258.661,219.994
61795,5.09,246.82,246.82
61796,5.09,266.852,266.852
61797,5.09,264.635,264.635
61798,5.09,263.415,263.415
61799,5.09,282.685,282.685
61800,5.08,285.288,323.955
61801,5.07,288.078,326.772
61802,5.07,323.99,323.99
61803,5.07,323.023,323.023
61804,5.07,324.857,324.857
61805,5.07,318.813,318.813
61806,5.07,316.082,316.082
61807,5.07,304.577,304.577
61808,5.06,252.086,290.753
61809,5.06,290.382,290.382
61810,5.06,242.22,242.22
61811,5.08,276.326,198.965
61812,5.08,199.023,199.023
61813,5.08,202.517,202.517
61814,5.09,244.392,205.725
61815,5.1,290.985,252.318
61816,5.1,296.833,296.833
61817,5.08,216.324,293.657
61818,5.08,287.705,287.705
61819,5.07,246.983,285.677
61820,5.06,183.032,221.699
61821,5.06,194.555,194.555
61822,5.08,275.938,198.577
61823,5.08,204.907,204.907
61824,5.1,285.887,208.554
61825,5.11,306.811,268.144
61826,5.11,302.535,302.535
61827,5.1,260.208,298.875
61828,5.09,255.698,294.365
61829,5.07,213.807,291.168
61830,5.06,253.926,292.593
61831,5.06,289.91,289.91
61832,5.06,287.775,287.775
61833,5.06,312.695,312.695
61834,5.03,301.088,417.088
61835,5.02,299.708,338.375
61836,5.0,174.899,252.232
61837,4.99,35.537,92.093
61838,4.99,1.29,1.29
61839,4.99,1.29,1.29
61840,4.99,1.29,1.29
61841,5.01,96.979,1.757
61842,5.03,84.176,6.843
61843,5.04,106.92,68.253
61844,5.05,181.657,142.99
61845,5.08,293.124,177.096
61846,5.1,323.792,246.459
61847,5.08,302.447,379.78
61848,5.07,272.551,311.245
61849,5.07,254.143,254.143
61850,5.07,255.652,255.652
61851,5.05,182.006,259.339
61852,5.05,201.383,201.383
61853,5.07,276.18,198.847
61854,5.07,202.675,202.675
61855,5.07,204.948,204.948
61856,5.08,277.636,238.942
61857,5.08,263.965,263.965
61858,5.08,261.513,261.513
61859,5.08,259.875,259.875
61860,5.06,180.118,257.479
61861,5.05,214.718,253.385
61862,5.04,211.56,250.227
61863,5.04,200.312,200.312
61864,5.04,188.125,188.125
61865,5.04,193.998,193.998
61866,5.06,274.528,197.195
61867,5.07,298.507,259.84
61868,5.07,337.3,337.3
61869,5.07,337.632,337.632
61870,5.07,333.267,333.267
61871,5.06,292.108,330.775
61872,5.04,251.537,328.87
61873,5.03,265.841,304.508
61874,5.03,209.493,209.493
61875,5.04,173.261,134.594
61876,5.04,99.96,99.96
61877,5.04,107.065,107.065
61878,4.96,363.282,744.171
61879,4.9,449.272,788.605
61880,4.9,779.865,779.865
61881,4.89,753.205,809.761
61882,4.86,638.51,808.177
61883,4.86,805.303,805.303
61884,4.85,747.977,804.533
61885,4.84,751.412,807.968
61886,4.84,809.443,809.443
61887,4.84,814.78,814.78
61888,4.83,760.202,816.758
61889,4.83,838.546,838.546
61890,4.83,843.818,843.818
61891,4.83,790.672,790.672
61892,4.84,664.387,607.831
61893,4.82,487.757,600.868
61894,4.78,123.621,349.843
61895,4.78,80.747,80.747
61896,4.8,155.498,42.387
61897,4.81,101.781,45.225
61898,4.85,288.789,62.567
61899,4.88,270.15,100.483
61900,4.89,200.344,143.788
61901,4.89,231.917,231.917
61902,4.89,232.409,232.409
61903,4.89,264.845,264.845
61904,4.89,307.885,307.885
61905,4.87,191.259,304.37
61906,4.85,182.307,295.418
61907,4.84,230.842,287.398
61908,4.82,120.494,233.605
61909,4.81,162.221,218.777
61910,4.81,153.757,153.757
61911,4.85,386.064,159.842
61912,4.88,338.499,168.832
61913,4.9,290.387,177.276
61914,4.93,348.702,179.035
61915,4.95,327.006,213.895
61916,4.92,138.478,308.145
61917,4.89,120.85,290.517
61918,4.89,154.918,154.918
61919,4.89,147.59,147.59
61920,4.89,153.773,153.773
61921,4.88,95.344,151.9
61922,4.9,264.756,151.645
61923,4.91,212.401,155.845
61924,4.91,159.282,159.282
61925,4.92,217.263,160.707
61926,4.94,294.884,181.773
61927,4.94,219.382,219.382
61928,4.94,221.243,221.243
61929,4.94,232.199,232.088
61930,4.93,228.456,285.012
61931,4.91,202.301,315.412
61932,4.89,169.814,282.925
61933,4.88,150.246,206.802
61934,4.88,204.585,204.585
61935,4.9,373.171,260.06
61936,4.91,379.088,322.532
61937,4.91,359.522,359.522
61938,4.91,366.65,366.65
61939,4.91,359.925,359.925
61940,4.91,347.66,347.66
61941,4.89,188.457,301.568
61942,4.89,190.192,190.192
61943,4.88,108.932,165.488
61944,4.88,167.238,167.238
61945,4.88,167.972,167.972
