Unnamed: 0,수산대교(창원)_수위,여의리(의령군)_수위,의령군(정암교)_수위,함안군(서출리)_수위,합천군(적포교)_수위,date,time
6671,0.0512514898688915,0.1804906542056074,0.2105911330049261,0.215863453815261,0.1733264141152049,2013-06-01,0
6672,0.0548271752085816,0.1822429906542056,0.2093596059113301,0.217871485943775,0.1774779449922158,2013-06-01,1
6673,0.0548271752085816,0.183411214953271,0.2068965517241379,0.218875502008032,0.1779968863518422,2013-06-01,2
6674,0.0560190703218116,0.183411214953271,0.2044334975369458,0.2198795180722891,0.1774779449922158,2013-06-01,3
6675,0.0560190703218116,0.1845794392523364,0.1995073891625616,0.2218875502008032,0.1790347690710949,2013-06-01,4
6676,0.0572109654350417,0.1857476635514018,0.1958128078817734,0.2218875502008032,0.1811105345096004,2013-06-01,5
6677,0.0595947556615017,0.1863317757009346,0.1908866995073892,0.2228915662650601,0.1811105345096004,2013-06-01,6
6678,0.0607866507747318,0.1869158878504672,0.1859605911330049,0.2228915662650601,0.1811105345096004,2013-06-01,7
6679,0.0631704410011918,0.1869158878504672,0.1810344827586207,0.2228915662650601,0.1826673585884795,2013-06-01,8
6680,0.0643623361144219,0.1875,0.1761083743842365,0.2218875502008032,0.1826673585884795,2013-06-01,9
6681,0.066746126340882,0.1875,0.1724137931034483,0.2198795180722891,0.1821484172288531,2013-06-01,10
6682,0.067938021454112,0.1875,0.1687192118226601,0.217871485943775,0.1821484172288531,2013-06-01,11
6683,0.067938021454112,0.1875,0.1650246305418719,0.216867469879518,0.1821484172288531,2013-06-01,12
6684,0.067938021454112,0.1875,0.1613300492610837,0.2148594377510039,0.1816294758692268,2013-06-01,13
6685,0.067938021454112,0.1875,0.1588669950738916,0.2128514056224899,0.1816294758692268,2013-06-01,14
6686,0.069129916567342,0.1875,0.1564039408866995,0.2118473895582329,0.1816294758692268,2013-06-01,15
6687,0.069129916567342,0.1875,0.1551724137931034,0.2108433734939758,0.1816294758692268,2013-06-01,16
6688,0.066746126340882,0.1875,0.1527093596059113,0.2088353413654617,0.1816294758692268,2013-06-01,17
6689,0.066746126340882,0.1875,0.1514778325123153,0.2088353413654617,0.1816294758692268,2013-06-01,18
6690,0.0655542312276519,0.1875,0.1514778325123153,0.2088353413654617,0.1816294758692268,2013-06-01,19
6691,0.0643623361144219,0.1875,0.1502463054187192,0.2078313253012048,0.1816294758692268,2013-06-01,20
6692,0.0631704410011918,0.1875,0.1502463054187192,0.2068273092369477,0.1831862999481058,2013-06-01,21
6693,0.0619785458879618,0.1880841121495327,0.1490147783251232,0.2068273092369477,0.1837052413077322,2013-06-01,22
6694,0.0607866507747318,0.1886682242990654,0.1490147783251232,0.2068273092369477,0.1852620653866113,2013-06-01,23
6695,0.0607866507747318,0.1898364485981308,0.1490147783251232,0.2078313253012048,0.1857810067462376,2013-06-02,0
6696,0.0607866507747318,0.1910046728971962,0.1490147783251232,0.2098393574297188,0.1868188894654903,2013-06-02,1
6697,0.0619785458879618,0.1921728971962616,0.1490147783251232,0.2108433734939758,0.1878567721847431,2013-06-02,2
6698,0.0619785458879618,0.1921728971962616,0.1490147783251232,0.2108433734939758,0.1878567721847431,2013-06-02,3
6699,0.0619785458879618,0.1927570093457944,0.1490147783251232,0.2108433734939758,0.1878567721847431,2013-06-02,4
6700,0.0631704410011918,0.1927570093457944,0.1490147783251232,0.2118473895582329,0.1878567721847431,2013-06-02,5
6701,0.0643623361144219,0.1927570093457944,0.1477832512315271,0.2118473895582329,0.1878567721847431,2013-06-02,6
6702,0.0655542312276519,0.1927570093457944,0.1477832512315271,0.2118473895582329,0.1878567721847431,2013-06-02,7
6703,0.0655542312276519,0.1927570093457944,0.146551724137931,0.2118473895582329,0.1878567721847431,2013-06-02,8
6704,0.0655542312276519,0.1927570093457944,0.145320197044335,0.2118473895582329,0.1878567721847431,2013-06-02,9
6705,0.0643623361144219,0.1927570093457944,0.145320197044335,0.2118473895582329,0.1878567721847431,2013-06-02,10
6706,0.0643623361144219,0.1927570093457944,0.1440886699507389,0.2118473895582329,0.1878567721847431,2013-06-02,11
6707,0.0655542312276519,0.1927570093457944,0.1440886699507389,0.2108433734939758,0.1878567721847431,2013-06-02,12
6708,0.066746126340882,0.1927570093457944,0.1428571428571428,0.2108433734939758,0.1878567721847431,2013-06-02,13
6709,0.066746126340882,0.1927570093457944,0.1428571428571428,0.2098393574297188,0.1878567721847431,2013-06-02,14
6710,0.066746126340882,0.1927570093457944,0.1428571428571428,0.2098393574297188,0.1873378308251167,2013-06-02,15
6711,0.067938021454112,0.1921728971962616,0.1416256157635468,0.2098393574297188,0.1857810067462376,2013-06-02,16
6712,0.069129916567342,0.1910046728971962,0.1416256157635468,0.2088353413654617,0.1842241826673585,2013-06-02,17
6713,0.069129916567342,0.1898364485981308,0.1416256157635468,0.2068273092369477,0.1837052413077322,2013-06-02,18
6714,0.069129916567342,0.1869158878504672,0.1428571428571428,0.2048192771084337,0.1821484172288531,2013-06-02,19
6715,0.067938021454112,0.1839953271028037,0.1428571428571428,0.2028112449799196,0.1811105345096004,2013-06-02,20
6716,0.0655542312276519,0.1822429906542056,0.1428571428571428,0.2018072289156626,0.1800726517903476,2013-06-02,21
6717,0.0643623361144219,0.1810747663551402,0.1440886699507389,0.2008032128514056,0.180591593149974,2013-06-02,22
6718,0.0619785458879618,0.1804906542056074,0.1440886699507389,0.2008032128514056,0.180591593149974,2013-06-02,23
6719,0.0619785458879618,0.179322429906542,0.1440886699507389,0.1997991967871485,0.1800726517903476,2013-06-03,0
6720,0.0595947556615017,0.1781542056074766,0.1440886699507389,0.1997991967871485,0.1800726517903476,2013-06-03,1
6721,0.0572109654350417,0.1781542056074766,0.1440886699507389,0.1997991967871485,0.1800726517903476,2013-06-03,2
6722,0.0572109654350417,0.1775700934579439,0.1440886699507389,0.1997991967871485,0.180591593149974,2013-06-03,3
6723,0.0572109654350417,0.1775700934579439,0.1440886699507389,0.1997991967871485,0.180591593149974,2013-06-03,4
6724,0.0560190703218116,0.1775700934579439,0.1440886699507389,0.1997991967871485,0.180591593149974,2013-06-03,5
6725,0.0560190703218116,0.1775700934579439,0.1440886699507389,0.1997991967871485,0.180591593149974,2013-06-03,6
6726,0.0548271752085816,0.1775700934579439,0.1440886699507389,0.1997991967871485,0.1811105345096004,2013-06-03,7
6727,0.0536352800953515,0.1775700934579439,0.1428571428571428,0.1997991967871485,0.1811105345096004,2013-06-03,8
6728,0.0524433849821215,0.1775700934579439,0.1416256157635468,0.1997991967871485,0.1816294758692268,2013-06-03,9
6729,0.0524433849821215,0.1775700934579439,0.1416256157635468,0.1997991967871485,0.1816294758692268,2013-06-03,10
6730,0.0560190703218116,0.1781542056074766,0.1403940886699507,0.1997991967871485,0.1816294758692268,2013-06-03,11
6731,0.0572109654350417,0.1787383177570093,0.1403940886699507,0.1977911646586345,0.1785158277114686,2013-06-03,12
6732,0.0572109654350417,0.1787383177570093,0.1391625615763547,0.1967871485943775,0.1774779449922158,2013-06-03,13
6733,0.0584028605482717,0.1787383177570093,0.1391625615763547,0.1947791164658634,0.1774779449922158,2013-06-03,14
6734,0.0584028605482717,0.1799065420560747,0.1379310344827586,0.1917670682730923,0.1800726517903476,2013-06-03,15
6735,0.0572109654350417,0.1828271028037383,0.1379310344827586,0.1907630522088353,0.1878567721847431,2013-06-03,16
6736,0.0607866507747318,0.1880841121495327,0.1379310344827586,0.1947791164658634,0.1800726517903476,2013-06-03,17
6737,0.0607866507747318,0.1857476635514018,0.1379310344827586,0.2078313253012048,0.180591593149974,2013-06-03,18
6738,0.0619785458879618,0.1880841121495327,0.1379310344827586,0.2078313253012048,0.1883757135443695,2013-06-03,19
6739,0.0619785458879618,0.1910046728971962,0.1391625615763547,0.2038152610441766,0.1899325376232485,2013-06-03,20
6740,0.0619785458879618,0.1910046728971962,0.1391625615763547,0.2048192771084337,0.1868188894654903,2013-06-03,21
